id,premise,hypothesis,lang_abv,language,label
8289cdfc7d,ดังนั้นจำนวนของหม้อต้มน้ำอาจเติบโตได้เร็วกว่าที่คิดไว้,จำนวนผู้ต้มจะลดลงอย่างมากตามคาด,th,Thai,2
80001fec89,"Όσο ζει ο Άσαντ, μπορεί να διαχειριστεί αυτά τα προβλήματα και να διατηρήσει μια συμφωνία με το Ισραήλ.","Όσο ο Άσαντ δεν πεθάνει, θα είναι σε θέση να φροντίσει τα προβλήματα.",el,Greek,0
d999bfa2a1,Четверо детей Хависа? - спросил Северн.,Северн знает все о детях Джарвисов.,ru,Russian,1
d4dd5ba80d,我的大脑拒绝正确指挥。,我的大脑不能正确地指挥。,zh-cn,Chinese,0
ad4b9214af,"""Vì vậy, cô gái của bạn viết rằng hoạt động chia tay nhỏ của bạn không diễn ra tốt đẹp, hả?"" anh ta nghẹn ngào.",Hoạt động chia tay của bạn không diễn ra tốt đẹp.,vi,Vietnamese,0
097b4dfe2a,Üzerinden yürümek zorundasın).,Yaya geçmeniz gerekiyor.,tr,Turkish,0
b0c2761b43,"Không, tôi ngạc nhiên thốt lên.","""Không!"" Tôi hét lên vì sốc.",vi,Vietnamese,0
37c01740c6,Бауэрштейн был в Стайлсе в ту роковую ночь и добавил: «Он дважды сказал:« Это все меняет ». И я думал.,"Стили ответственны за то, что произошло.",ru,Russian,1
3d3149ec45,很久以前-不管走了，还是任何东西-都有一个叫做塔尔的世界？另一个叫Erath。,埃拉斯（Erath）是唯一存在过的世界。,zh-cn,Chinese,2
6c12f1e611,ثم ، طوال الوقت ، كان ذلك في إناء الانسكاب في غرفة نوم السيدة إنجليثورب ، تحت أنوفنا؟ أنا بكيت.,إذن تم إخفاؤه في بلد آخر ، من المستحيل علينا تحديد مكانه؟,ar,Arabic,2
9832b523a0,"क्योंकि मुझे हमेशा यह करना था और इसलिए मैं इसे करने के लिए किसी और को भुगतान करता हूं और वे करते हैं कि वे जो कटिंग करते हैं, वे um edge को निषेचित करते हैं और मुझे लगता है कि इस साल मैं कुछ लैंडस्केपिंग करने जा रहा हूं।",मैंने कभी बागवानी के प्रति प्रेम विकसित नहीं किया।,hi,Hindi,1
71bcd59dd6,«Она становится немного одержимой своим соусом.,"Ее соус настолько сложен, что она одержима совершенствованием каждого ингредиента.",ru,Russian,1
aab0894630,"Más bien, los niños de hoy no son solo pequeños paquetes de alegría, sino que también son quizás los símbolos definitivos del éxito y el estatus mundano.","Si bien los niños de hoy son símbolos de éxito y estatus, sus padres también lo son.",es,Spanish,1
7ca8ba219d,Chinas Bürgerkrieg hat beunruhigende Echos nach Hongkong geschickt.,Japan führte einen Bürgerkrieg.,de,German,2
e390988e6f,"Die sieben Zuschüsse stammen aus einem neuen gemeinnützigen Programm zum Kapazitätsaufbau bei der Stiftung, das Teil des Trends unter Philanthropen ist, Geld zu geben, um Organisationen dabei zu unterstützen, stärker zu werden, und nicht auf die von ihnen angebotenen Programmdienste.","Die Zuschüsse stammen aus einem gemeinnützigen Programm zum Kapazitätsaufbau bei der Stiftung. Dies ist ein Beispiel für den Trend unter Philanthropen, Geld für das Wachstum von Organisationen zu geben und diese dann zu übernehmen.",de,German,1
9e42108ae0,"Ou encore, l'admissibilité pourrait être limitée à celles qui ont déjà été enceintes, ou du moins sexuellement actives; à ceux de plus de 13 ans ou de moins de 21 ans; ou une combinaison de ceux-ci.",L'âge du consentement est également de 21 ans.,fr,French,1
4acead92d8,ในแง่นี้การนำ Steve Jobs กลับมาช่วย Apple ก็เหมือนกับการนำ Gen,Steve Jobs กลับมาที่ Apple,th,Thai,0
7b6768c074,"ya da evde hasta olan birileri vardı, buna yatkın olmaları gerekiyordu, yani bunu herkes yapamazsın",Yapacak hiçbir şeyleri yoktu.,tr,Turkish,2
11788e6295,世代相传（角谷智子，《纽约时报》）。少数人，例如《华尔街日报》（Wall Street Journal）的珍珠（Pearl K. Bell），在小说中发现了过多甜蜜的服从顺从，并说部分内容处于感性边缘。,他们抱怨这本小说缺乏情感。,zh-cn,Chinese,2
75cbac107c,"Này, không sao, một chính sách tốt.","Không phải lo lắng, một chính sách tốt.",vi,Vietnamese,0
5b09f9eabb,m ?? tro (รถไฟใต้ดิน) เป็นวิธีที่เร็วที่สุดในการเดินทางรอบเมือง แต่รถประจำทางทั้งในเมืองหลวงและเมืองใหญ่อื่น ๆ เหมาะสำหรับการเที่ยวชมสถานที่ท่องเที่ยว,การนั่งรถไฟใต้ดินเป็นวิธีที่ดีในการสัมผัสชีวิตในเมืองใหญ่,th,Thai,2
c5c2c039e5,انہیں خود پر اتنا یقین تھا کہ انہوں نے اسے غلطی سے سمجھا ہے۔,انہوں نے صرف یہ فرض کیا کہ اس نے غلطی کی ہے۔,ur,Urdu,0
604b64ca7f,"Ich bin im Plano-Schulsystem und lebe in Richardson. Es gibt eine echte Zweiteilung in Bezug auf den Bildungs- und wirtschaftlichen Hintergrund der Kinder, die diese Schule besuchen werden",Es gibt eine große Anzahl armer Studenten und nur sehr wenige Reiche.,de,German,1
716eeeea2a,"хорошо, и я думаю, мы просто вешаем трубку, я не думаю, что нам нужно делать что-то еще","Все, мы просто вешаем трубку, да?",ru,Russian,0
5de2aa81ed,他们利用盐腌制鱼类来利用自然资源，并将其出口到自己的祖国。,他们用盐腌制鱼，并将其送回家。,zh-cn,Chinese,0
f0e86993ca,News réprimande les utilisateurs d'ordinateurs pour avoir choisi des mots de passe évidents et faciles à craquer et réprimande les administrateurs système pour avoir ignoré les précautions de sécurité de base.,Les médias ne blâment pas les utilisateurs ou les administrateurs système pour les failles de sécurité.,fr,French,2
b3c705a914,لحسن حظهم ، هو يثبت لهم الحق.,إنه يظهر أنهم كانوا على حق.,ar,Arabic,0
99b71d209e,سيء للغاية أنها اختارت استخدام ماكنتاير بدلاً من ذلك.,تم اختيار ماكنتاير لاستخدامه كإبريق إغلاق.,ar,Arabic,1
8bbc9fd459,और दूसरी बात यह है कि लागत यह एक डीलर के लिए लाने के लिए लगभग निषेधात्मक है,इसे किसी डीलर के पास लाना सस्ता है।,hi,Hindi,2
3c2e8a360d,PÓLIZAS DE VIDA COMPLETA: las pólizas que brindan un seguro durante toda la vida del asegurado y los ingresos (monto nominal) se pagan solo en caso de fallecimiento del asegurado.,Una póliza de por vida es la mejor opción para alguien que espera vivir hasta los 90 años.,es,Spanish,1
b1ad9fb1ef,2466 ، چار مجموعوں پر تبادلہ خیال کرتا ہے ، جس میں انسٹال اور آپریٹنگ مائکروویو لنک کی کم سے کم تعداد کی سند اور کمپیوٹر کے پڑھنے کے قابل ڈیٹا بیس کی بحالی شامل ہے۔,2466 نے چار مجموعوں پر تبادلہ خیال کیا۔,ur,Urdu,0
7cc9bb38f9,"महिलाओं की हेवन, जो घरेलू-हिंसा पीड़ितों को आश्रय और आउटरीच प्रदान करती है, पहले से ही एक पूर्णकालिक वकील है।",महिला हैवन में एक पूर्णकालिक वकील पहले से ही है।,hi,Hindi,0
a8bcd9ccf7,uh alta humedad,Aire con mayor contenido de agua.,es,Spanish,0
80f6ac92a4,"हमें इस निहितार्थ को देखने की जरूरत है कि इन विभिन्न भूमिकाओं में कई मुद्दे हैं, जैसे कि एसईएस कोर दक्षताओं, प्रदर्शन मानकों, भर्ती स्रोतों, गतिशीलता और प्रशिक्षण और विकास कार्यक्रम।",हम गतिशीलता पर भूमिकाओं के निहितार्थ को पूरी तरह से अनदेखा कर सकते हैं।,hi,Hindi,2
eb04f1a8f0,Ouais ouais ouais bien parce que c'est comme ça qu'ils peuvent sembler extérieurement mais garçon il se passe beaucoup de choses là-dedans,Il y a une autre couche à la surface.,fr,French,0
e7ad6c38fc,اس صورتحال میں ، کام کرنے کی لاگت کے ساتھ بہتر خدمت کے بھیجنے والے کی قیمت پر بھی غور کیا جائے گا۔,اس معاملے میں کام کرنے کی لاگت پر کوئی غور نہیں کیا جائے گا۔,ur,Urdu,2
ca2f6459bd,Existe-t-il des informations adéquates pour juger de la généralisabilité?,Les informations de sortie sont beaucoup trop généralisées.,fr,French,1
212fc2ad66,महाभियोग प्रक्रिया के माध्यम से नहीं हुई राजनीतिक सफाई क्लिंटन को एक महान और गंभीर बोझ के साथ छोड़ देती है।,महाभियोग प्रक्रिया में क्लिंटन के पति भी शामिल थे।,hi,Hindi,1
d5249d1219,"क्या मुझे यह याद नहीं है कि मैं यहाँ केवल आठ साल रहा हूँ, लेकिन मैं याद कर सकता हूँ कि मैं काम करने के लिए आया हूँ जो कि मैं विली में रहता था और मैं शहर डलास को देख सकता था",मैं यहां केवल दो साल से हूं।,hi,Hindi,2
a38659ed31,"През по-голямата част от 80-те и 90-те години САЩ успяха да инвестират повече, отколкото спестиха, като привлече финансиране от чужбина.","САЩ могат да спестят повече, отколкото са инвестирали през 80-те и 90-те.",bg,Bulgarian,2
a49ecd3734,Güvenilirlik hayati bir faktör ve Jim Lehrer gerçekten de buna sahip.,Jim Lehrer'in söylediği şeye herkes inanacaktı.,tr,Turkish,1
952a08b1f3,یہاں کوئی ایسا شخص ہونا چاہئے جس کو اس سے کہیں زیادہ معلوم تھا کہ اس دنیا میں کیا ہورہا ہے اس کے مقابلے میں وہ اب کیا کررہا ہے۔,وہ جانتا تھا کہ وہی واحد شخص ہے جس کا اندازہ ہے کہ کیا ہو رہا ہے۔,ur,Urdu,2
ef98cc7a44,"Karnesinde doğruluk, hız ve zamanındalık, birim maliyet, müşteri memnuniyeti ve çalışan gelişimi ve memnuniyeti için ölçüler yer alıyordu.","Doğruluk ve hız, puan kartında listelenen ilk ölçümlerdir.",tr,Turkish,1
dd883e1f46,"A la izquierda de la rampa de entrada está el espacio abierto que una vez ocupó el Templo de Atenea, cerca del cual se encuentran los restos de la biblioteca de Pergamene.",No hay restos visibles desde la rampa.,es,Spanish,2
640c0172a6,"Si vous souhaitez apprendre la danse folklorique israélienne, la cave Bicurei Ha'etim de la rue Heftman vous apprendra.",La cave Bicurei Ha'etim est le seul endroit pour apprendre la danse folklorique israélienne.,fr,French,1
c4e8713899,"Veya Sherlock Holmes? """,Sherlock Holmes muydu?,tr,Turkish,0
a14e13370f,"Mặc dù hai thành phố vẫn chưa được kết nối bằng đường sắt, nhưng điều này sắp thay đổi nhanh chóng.",Hai thành phố không có đường sắt giữa họ.,vi,Vietnamese,0
39d065817a,يمكن أن تكون مكاتب المعلومات السياحية مفيدة للغاية.,مكاتب المعلومات السياحية لا تقدم أي مساعدة.,ar,Arabic,2
101dc2c1bb,"Mipango ya kina ya utekelezaji pia itakuwa muhimu kushughulikia mfumo wa biashara, michakato, na maswala ya rasilimali.","Mipango ya kina ya utekelezaji ni muhimu kushughulikia mfumo wa biashara, michakato na rasilimali",sw,Swahili,0
0c338feb50,"Premièrement, les cannabinoïdes injectés peuvent ne pas refléter les effets de la marijuana fumée.",Fumer de la marijuana rend les gens plus élevés que ne leur injectent des cannabinoïdes.,fr,French,1
617f1dc5f2,Takwimu zingewasilishwa kama habari inayohitajika ya uwakili inayoambatana na taarifa za pamoja za kifedha za Serikali ya Shirikisho lakini sio kwa ripoti za kibinafsi za vitengo vyake.,Takwimu zingejumuishwa katika ripoti za kibinafsi kuhusu vitengo vya serikali ya shirikisho.,sw,Swahili,2
8adeb402ee,Boca da Corrida Encumeada (wastani; masaa 5): maoni ya Curral das Freiras na bonde la Ribeiro do Poco.,"""Maoni ya Curral da Freiras na bonde la Ribeiro do Poco"" ni sura ya 5.",sw,Swahili,1
a7a2a9fc5e,معدل الفائدة - السعر الذي يتم تحصيله لكل وحدة من الأموال المقترضة سنويًا ، أو وحدة زمنية أخرى ، يتم التعبير عنها عادةً كنسبة مئوية.,يمكن أن يتراوح سعر الفائدة من صفر إلى خمسة عشر بالمائة.,ar,Arabic,1
e7bc15b1b9,"o krikoyu çıkarmak çok komik, bu doğru, bu komik bir hikaye",Bu hikayeyi anlatmaktan zevk alacağım.,tr,Turkish,1
f50208a07e,"Г-н Эрленборн посещал курсы бакалавриата в Университете Нотр-Дам, Университете Индианы, Университете Иллинойса и Университете Лояла в Чикаго.",Г-н Эрленборн посещал занятия как минимум в четырех разных университетах.,ru,Russian,0
00ddb7aea4,"Entonces, a diferencia de las personas que tienen la suerte de poder pagar abogados y pueden acudir a otro abogado, nuestros clientes simplemente se pierden en el sistema legal si no pueden acceder a él.",Nuestros clientes pueden pagar abogados y cambiar de abogado.,es,Spanish,2
b0ee325483,"Finalmente, la mujer abrió los ojos débilmente.",Abrió los ojos.,es,Spanish,0
a5484dd197,"En iyisi, Absalom'un (Kral Davut'un oğlu) devasa konik çatılı Mezarı / Sütunu.","Absalom Türbesi / Sütunu, koni şeklinde büyük bir çatıya sahiptir.",tr,Turkish,0
0393073e4a,"Разве упоминание «Ритца» было случайным замечанием? """,Упоминание о «Ритце» было случайным?,ru,Russian,0
09b8ecb23f,Son las cuatro frases que siempre insertas en trabajos plagiados para desviar al profesor.,Estas cuatro oraciones obligan a los profesores a hojear el párrafo y omitir inadvertidamente la información plagiada.,es,Spanish,1
0477c22e6d,Mtu huyu anadai kwamba ameibiwa njiani na amekwama bila pesa au tiketi yake ya ndege katika uwanja wa ndege mahali pengine huko Ulaya au Mashariki ya Kati.,Alidai aliibiwa njiani na hana pesa wala tiketi ya ndege,sw,Swahili,0
3074381515,"Ilipangwa katika miaka ya 1820 kama ishara ya kiburi cha kitaifa cha Scottish na iliyoundwa kama mini-Parthenon, kwa heshima na mtindo wa neoclassical maarufu wakati huo.",Iliundwa kuwa toleo dogo la Parthenon.,sw,Swahili,0
489847e94d,แม้ว่าข้อมูลการอ้างสิทธิ์จะให้ข้อมูลที่ถูกต้องที่สุดเกี่ยวกับการใช้การดูแลสุขภาพ แต่การติดตามผลอย่างเพียงพอสำหรับวัตถุประสงค์ในการได้รับข้อมูลจากการรายงานตนเองของผู้ป่วยเป็นสิ่งสำคัญเนื่องจากหลายคนไม่รายงานเหตุการณ์ที่เกี่ยวข้องกับแอลกอฮอล์ต่อผู้ที่ทำประกัน,เหตุการณ์ที่เกี่ยวข้องกับแอลกอฮอล์ที่ก่อให้เกิดโรคมักไม่ได้รับการรายงานโดยผู้ป่วยไปยัง บริษัท ประกันภัยของตน,th,Thai,0
a235cb04e1,"¿Podría hablar sobre este tema, con respecto a las ramificaciones sociales de mascar chicle en público?","Ya veo, no tiene una opinión sobre masticar chicle en público.",es,Spanish,2
772391afdf,Der H-2A-Arbeitnehmer muss das Land verlassen und muss wegen Nichtbeachtung abgeschoben werden.,Der H-2A-Arbeiter hat ein Verbrechen begangen.,de,German,1
e90c9dda0f,Изследователите откриха очаквания стрес като загубата на чек по пощата и болестта на близките.,"Стресовете засегнаха хората, както изследователите очакваха.",bg,Bulgarian,0
8c3a69f486,Bạn phải đi qua nó).,Bạn có thể ở lại nơi bạn đang ở.,vi,Vietnamese,2
836766ea05,"Die 28 Staaten, die die Könige von Juda und Israel repräsentieren, wurden nach den Zeichnungen von Viollet-le-Duc umgebaut; Die ursprünglichen wurden während der Revolution abgerissen, da sie als Könige Frankreichs galten.","Die Leute, die die Statuen niedergerissen haben, wurden hingerichtet.",de,German,1
648feccb3d,Ca'anan نے ان کے پیچھے دروازہ بند کیا اور ریٹائر نہیں کیا۔,قعان نے داخل ہوتے ہی دروازہ بند کیا اور اسے رسی سے باندھ دیا۔,ur,Urdu,0
b23bdc1a30,Miji midogo kama Louisian iliyotawanyika kote kwenye Sehemu za Mafuta; laini kuu ya treni iliyo na matawi kati yao.,Njia kuu ya gari moshi ilikwenda kati ya miji yote midogo.,sw,Swahili,0
b5ca4c01f3,Je pense que les gens qui sont um ont un revenu inférieur que vous assimilez automatiquement à un niveau d'éducation inférieur,Je pense qu'un revenu plus élevé équivaut à une éducation plus faible.,fr,French,2
44bad2a664,"Être de bonne humeur,","Soyez de bonne humeur, car l'heure de la bière est proche.",fr,French,1
5594f92e61,"इस इतिहास की समीक्षा करने में, कुछ महत्वपूर्ण अंतर करना महत्वपूर्ण है।",अतीत का विश्लेषण करने का कोई मतलब नहीं है।,hi,Hindi,2
970707c7f5,"71 किमी (44 मील) की काली नदी, जमैका में सबसे लंबी है; यह अंतर्देशीय वृक्षारोपण से रम और लकड़ी परिवहन के लिए इस्तेमाल किया जाने वाला एक धमनी मार्ग था।",काली नदी को इसका नाम इसलिए मिला क्योंकि इसकी जलधारा वास्तव में काली है।,hi,Hindi,1
3fa01b03f8,"हमारे शहर में पाँच हज़ार में से एक है जो उह स्थानीय एफएम एएम स्टेशन है और उनकी खबर सीएनएन से दी गई है, उह यह उह के साथ है",शहर का रेडियो स्टेशन कभी भी किसी राष्ट्रीय समाचार स्रोतों पर निर्भर नहीं करता था।,hi,Hindi,2
0bc8210460,Có một số loại hoạt động kiểm soát chung cho tất cả các cơ quan.,Các hoạt động kiểm soát chẳng hạn như thực hành kinh doanh an toàn là phổ biến ở tất cả các cơ quan.,vi,Vietnamese,1
d37166ccce,"Περισσότεροι από 100 δικαστές, δικηγόροι και αξιωματούχοι ήταν παρόντες για τη συγκέντρωση.",Μόνο δύο άτομα εμφανίστηκαν για τη συγκέντρωση.,el,Greek,2
1575809c3c,वह एड्रिन के बारे में भूल गया था।,उन्होंने इस समय एड्रिन को याद किया।,hi,Hindi,2
db6d9923f3,"Другими словами, газета продемонстрировала слишком типичный журналистский тик: разоблачать потенциальные конфликты интересов с участием политиков, игнорируя конфликты с участием журналистов.","В газете показано, что журналисты раскрывают потенциальные конфликты интересов вокруг политиков, но никогда не раскрывают других журналистов.",ru,Russian,0
1e9caaf93c,Sababu ya mwisho ya ufufuaji wa vijana ni kujipendelea.,Kujitazama kwa Boomer ni moja ya sababu za kuzaliwa upya kwa vijana.,sw,Swahili,0
9d597f75c9,"Après la mort de Colomb en 1505, la Jamaïque est devenue la propriété de son fils Diego, qui a envoyé Don Juan de Esquivel sur l'île en tant que gouverneur.","La Jamaïque a été héritée par le fils de Columbus, Diego.",fr,French,0
56d48aa27a,"Họ sẽ không giết chết nhân vật của George Clooney tại ER như họ đã làm với Jimmy Smits tại NYPD. Thay vào đó, Tiến sĩ Doug Ross sẽ bị buộc phải ra đi trong hai tập tiếp theo vì trái tim maverick đưa một loại thuốc giảm đau trái phép cho một cậu bé bị bệnh nan y (Thứ Năm, 10 giờ tối).",George Clooney sẽ mất việc vì các nhà sản xuất không nghĩ rằng anh ấy có thể diễn xuất.,vi,Vietnamese,2
fd0d3579c4,"120 ""คุณไม่คิดว่าฉันควรไปหาตำรวจ?""",ฉันไม่ควรไปหาตำรวจ?,th,Thai,0
e21db52eb1,ndio kwa sababu vitu hivyo nadhani vingekujua tu,Kwa sababu wangeishi kwa urahisi.,sw,Swahili,2
f9f20650aa,لقد اتخذنا عددًا من الخطوات لتمكين موظفينا والاستثمار فيه.,الخطوات التي اتخذناها وضعت برامج للموظفين في مكانها الصحيح.,ar,Arabic,0
85cc0bfc3d,在演讲中，费斯似乎认为，美国公众对女权主义，同性恋权利和行业规范等事情的启发比他希望的要少，其原因是人们被剥夺了发表意见的权利。和启发他们的信息。,费斯说，美国人民对有争议的话题非常了解。,zh-cn,Chinese,2
e1cfb4f6e6,"उदाहरण के लिए, देहाती ब्रा-डेविड पिकनिक क्षेत्र, एक हलचल धारा के साथ स्थापित है।",पिकनिक क्षेत्र एक धारा के पास नहीं है।,hi,Hindi,2
13b2d2328b,"y bueno, si le consiguieras una cortadora de césped, probablemente le tomaría mucho menos tiempo hacerlo, pero disfruto haciéndolo, me siento bien haciéndolo uh, me siento mucho mejor haciéndolo con una cortadora de césped con eso con un tractor con tracción para no tener que empujar tan fuerte",Cortaría todo su jardín en ocho minutos si estuviera usando una cortadora de césped.,es,Spanish,1
dc5c4be838,um-hum ναι το είδα για πρώτη φορά χθες το βράδυ,Εντυπωσιάστηκα πολύ όταν το είδα χθες.,el,Greek,1
0ef9524ce7,บาวเออร์สไตน์”,Alfred Inglethorp,th,Thai,2
0cc7c4de1b,Je! Tunayo chakula cha mchana?,Tutakula nini kwa chakula cha mchana?,sw,Swahili,0
840da92d5e,ہانگ کانگ کے باشندوں کی ایک رائے شماری نے انہیں اس شہر کے مستقبل کے بارے میں متangثر پایا۔,ہانگ کانگ کے باشندوں کی ایک رائے شماری انہیں پہلے کے مقابلے میں اس شہر کے مستقبل کے بارے میں زیادہ سنجیدہ معلوم کرتی ہے۔,ur,Urdu,1
e0bec36772,"ну я имел в виду, когда ты был, когда ты рос, я имел в виду, как Галвестон","Вы выросли в Галвестоне, а я вырос в Далласе.",ru,Russian,1
fb3122d537,"Ich bin so konstituiert, dass ich kein Geld mit Befriedigung verschenken kann, bis ich die sorgfältigste Frage nach der Würdigkeit der Sache gestellt habe.","Ich muss eine Sache sorgfältig untersuchen, bevor ich Geld dafür spende.",de,German,0
2eca16560f,saben que les gusta lo que hacen saben que se sienten bien con lo que hacen ese tipo de cosas es más,Puedes ver la forma en que ha cambiado toda su conducta.,es,Spanish,1
bb14b19517,Мога ли да ти помогна?',Изобщо не ти помагам.,bg,Bulgarian,2
ee4804f903,"Thời gian mở cửa truyền thống của nhiều khách sạn là Lễ Phục sinh Chính thống giáo, mặc dù một số khách sạn không mở cửa cho đến cuối tháng Tư.",Các khách sạn không mở cửa vào Halloween.,vi,Vietnamese,1
a080e008b4,покрытие медицинских и хирургических расходов.,Медицинские и хирургические расходы были полностью покрыты,ru,Russian,1
2d1499038c,"genau und wenn ich hier auf dem Sofa sitze und plötzlich jemand einen Mann an meinem Türknauf hat, ist es wie äh wie oh nein und so mag ich das nicht und ich denke Die einzige Möglichkeit, dies zu verhindern, wäre die Verabschiedung einer Stadtverordnung, um dies zu verhindern","Ein Mann versuchte, das Haus zu betreten, um es auszurauben.",de,German,1
22cbc0822e,El calendario chino se utilizó para calcular el año de la fundación de Japón contando los 1.260 años del ciclo cosmológico chino.,La fundación de Japón se determinó utilizando el calendario chino.,es,Spanish,0
1bdedd4aad,"да, платите пятнадцать, да, я знаю, да, и когда вы платите пятнадцать долларов в месяц, это, безусловно, занимает много времени","Когда вы платите 100 долларов в месяц, это занимает много времени.",ru,Russian,2
e33426bedc,"Kwa hivyo, faida ya kiwango cha wavu hapo awali ni chanya, iwe tunarekebisha au sio sisi kwa malipo ya mshahara.",Faida za awali za kiwango cha wavu ni hasi wakati inarekebishwa kwa malipo ya mshahara.,sw,Swahili,2
906a6e0a56,"Regarde ici, tu n'as pas à venir me demander de cette façon.",Il n'y a aucune raison pour que vous me demandiez comme ça.,fr,French,0
d2c7168834,"Die Experten weisen darauf hin, dass nicht nur das Alter den Wert einer chinesischen Antiquität bestimmt, sondern dass die Dynastien der Vergangenheit ihre kreativen Höhen und Tiefen hatten.",Sammler stützen den Preis ihrer chinesischen Antiquitäten nur auf ihr Alter.,de,German,2
7d508126f5,Малки градове като Луизиан лежаха разпръснати из петролните полета; главната влакова линия се разклоняваше между тях.,В петролните полета имаше само един град.,bg,Bulgarian,2
